JobSatisfaction,Age,Gender,EmployerSize,EmploymentDummy,JobFunctionDummy01,JobFunctionDummy02,CompensationAmount,RemoteWork,Tenure,BarriersOrganizational,BarriersSupport,BarriersTechnical
4.5,32,1,10000,0,0,0,30933.16066,3,8.0,2.0,3.0,2.8
0.5,33,1,2500,0,0,1,22645.40089,3,1.5,3.25,3.5,3.0
4.0,34,1,2500,0,0,1,126178.819,2,8.0,3.0,2.5,4.0
1.5,43,1,300,0,0,1,85000.0,2,1.5,3.0,3.0,2.5
2.5,45,1,15,1,0,0,9.959167414,1,0.5,4.0,3.75,4.0
4.5,30,1,10000,0,0,0,14417.66527,2,4.0,2.0,3.0,3.666666667
4.0,39,1,10000,0,0,0,64681.39626,3,4.0,3.0,2.0,2.666666667
4.0,22,1,5,0,0,0,85000.0,2,4.0,3.5,2.0,2.5
4.0,34,1,10000,0,0,0,90000.0,2,10.0,4.0,4.0,4.0
4.0,33,1,2500,0,0,0,36916.87164,3,8.0,2.8,2.0,3.5
2.5,38,1,10000,1,0,1,68559.90448,1,4.0,3.0,2.0,3.333333333
3.5,48,1,2500,0,1,0,94929.09851,3,10.0,3.0,4.0,3.5
4.5,62,0,60,0,0,0,185000.0,3,10.0,3.0,3.0,3.5
4.0,40,1,300,0,0,0,60988.25366,2,1.5,2.5,3.0,3.0
2.0,45,1,60,0,0,1,182964.761,3,10.0,3.0,2.5,2.666666667
3.5,30,1,300,0,0,1,68559.90448,3,10.0,3.0,2.5,2.0
4.0,28,1,300,0,0,1,22827.97002,3,8.0,3.0,3.0,3.5
5.0,34,1,10000,0,0,0,195000.0,3,10.0,2.0,3.0,3.0
2.5,26,1,60,0,1,0,87000.0,2,1.5,2.0,4.0,3.5
3.5,35,1,2500,0,1,0,87759.84227,2,10.0,3.666666667,3.0,4.0
4.0,22,1,7500,0,0,1,13173.92663,3,1.5,3.5,3.5,3.0
2.0,28,1,60,0,0,0,9817.169614,1,4.0,3.0,2.333333333,2.0
3.0,33,1,60,0,0,0,36916.87164,1,8.0,3.0,2.0,2.0
4.0,32,1,5,0,0,1,89095.53396,2,10.0,2.833333333,2.75,2.833333333
3.5,36,1,10000,0,0,0,158569.4595,2,10.0,3.0,2.5,2.5
4.5,29,1,300,0,0,1,250000.0,3,8.0,3.5,2.0,4.0
4.0,21,1,60,0,0,0,21517.26233,3,1.5,2.75,2.0,3.666666667
3.0,34,1,60,0,0,0,12283.70764,1,4.0,3.0,3.0,3.0
3.5,30,1,2500,0,0,0,100000.0,3,4.0,3.0,2.0,4.0
0.5,27,1,10000,0,1,0,95000.0,3,1.5,4.0,3.5,3.25
4.0,42,1,300,0,0,1,87545.72418,2,10.0,2.5,3.0,3.5
4.0,33,1,750,0,0,0,93921.91064,3,10.0,2.333333333,2.0,3.666666667
3.5,33,1,750,0,0,0,103680.0312,3,8.0,3.0,3.5,3.666666667
2.0,29,1,5,0,0,0,67087.07903,3,4.0,2.0,4.0,4.0
2.0,36,1,750,0,1,0,130000.0,2,10.0,2.5,3.5,4.0
2.0,32,1,10000,0,0,0,2554.865742,3,8.0,3.5,2.0,4.0
4.0,27,1,60,0,0,0,31643.03284,3,8.0,2.0,1.0,3.0
2.5,28,1,300,0,0,1,42932.50474,3,4.0,1.857142857,2.5,2.666666667
4.0,24,1,7500,0,0,0,1439.900038,3,4.0,3.0,2.0,3.0
2.0,35,1,10000,0,1,0,14086.60066,2,10.0,3.0,2.0,2.0
3.5,34,0,2500,0,0,0,63639.66711,2,10.0,2.0,3.5,3.0
4.5,29,0,300,0,0,1,65000.0,3,4.0,2.5,2.5,3.0
3.5,56,0,750,0,0,0,80000.0,3,10.0,2.5,3.0,4.0
3.5,40,0,750,0,0,1,42190.71045,3,1.5,3.0,2.0,2.666666667
2.5,31,1,300,0,1,0,50000.0,3,4.0,4.0,3.0,3.0
4.5,28,1,750,0,0,0,48387.60875,3,4.0,2.666666667,1.5,2.5
4.5,24,1,60,0,0,0,42190.71045,2,1.5,2.333333333,2.0,2.8
4.0,31,0,60,1,0,1,79.54958389,3,4.0,3.0,3.0,4.0
3.5,35,1,60,0,0,1,31643.03284,2,10.0,3.0,2.0,2.0
1.5,35,1,300,0,0,0,31643.03284,1,1.5,3.0,4.0,3.5
2.5,25,1,300,0,0,1,48860.27929,3,1.5,2.75,3.0,3.5
3.5,30,1,2500,0,1,0,57263.29708,3,1.5,2.5,3.0,3.0
2.5,26,1,5,0,0,0,34247.23854,3,1.5,3.0,3.0,3.0
3.5,43,1,300,0,0,1,61176.53015,3,0.5,3.0,2.5,2.0
4.5,25,1,2500,0,0,0,95000.0,2,1.5,4.0,3.0,3.5
3.5,50,1,2500,0,0,0,68559.90448,4,10.0,3.166666667,3.25,3.875
3.5,33,1,300,0,1,0,121000.0,3,4.0,2.0,3.5,3.666666667
4.0,21,1,300,0,0,0,600.7360531,2,0.5,3.0,3.0,2.0
2.5,25,1,60,0,0,1,38309.74836,2,1.5,2.5,3.0,4.0
2.5,27,1,750,0,0,1,103000.0,1,1.5,2.0,3.0,2.666666667
2.0,27,1,2500,0,0,1,7809.56869,2,1.5,3.0,3.0,3.0
4.0,51,1,10000,0,1,0,79107.58209,3,10.0,3.0,2.75,3.0
4.0,47,1,2500,0,0,1,33510.92405,1,4.0,4.0,3.0,2.5
4.0,28,1,5,1,1,0,23204.89075,2,4.0,3.0,3.0,3.0
5.0,39,1,750,0,0,0,117000.0,3,4.0,2.0,2.0,3.0
3.5,31,1,60,0,0,0,62394.25041,3,10.0,2.0,4.0,2.5
3.5,28,1,5,0,0,0,18680.31193,2,1.5,3.0,3.0,2.0
3.0,34,1,15,0,0,0,55902.69135,1,8.0,3.0,2.5,2.0
3.0,32,1,60,0,1,0,31643.03284,1,4.0,2.666666667,4.0,4.0
4.5,27,0,10000,0,0,1,120000.0,2,4.0,3.0,4.0,3.666666667
4.0,34,0,10000,0,0,0,150000.0,3,10.0,2.0,2.0,3.25
2.5,41,1,2500,0,0,0,16638.46678,4,10.0,4.0,4.0,3.5
1.5,29,1,60,0,0,0,12556.04561,1,1.5,2.0,2.25,1.833333333
1.5,36,1,300,0,0,0,6.774265224,2,10.0,4.0,4.0,4.0
1.5,30,1,300,0,0,0,85383.55513,2,8.0,2.0,3.25,3.0
1.5,27,1,15,0,0,1,24174.84976,3,4.0,2.0,3.0,3.0
0.5,37,1,10000,0,0,0,255000.0,2,4.0,2.5,3.0,2.4
